ref_area,indicator,source,sex,classif1,classif2,time,obs_value,note_source
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y55-59,,1990,93520.139,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y60-64,,1990,82378.181,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_YGE65,,1990,188554.191,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_TOTAL,,1990,5325639.146,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_YLT15,,1990,1747607.702,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y15-24,,1990,1008760.956,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y25-34,,1990,823834.027,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y35-44,,1990,630489.899,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y45-54,,1990,441774.561,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y55-64,,1990,345082.445,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_YGE65,,1990,328089.555,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_TOTAL,,1990,2680097.968,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_YLT15,,1990,896153.093,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y15-24,,1990,514659.134,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y25-34,,1990,419275.828,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y35-44,,1990,319221.571,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y45-54,,1990,222068.848,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y55-64,,1990,169184.126,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_YGE65,,1990,139535.368,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_TOTAL,,1990,2645541.179,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_YLT15,,1990,851454.604,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y15-24,,1990,494101.828,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y25-34,,1990,404558.195,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y35-44,,1990,311268.328,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y45-54,,1990,219705.713,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y55-64,,1990,175898.32,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_YGE65,,1990,188554.191,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_TOTAL,,1990,5325639.146,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_YLT15,,1990,1747607.702,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y15-24,,1990,1008760.956,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y25-54,,1990,1896098.488,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y55-64,,1990,345082.445,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_YGE65,,1990,328089.555,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_TOTAL,,1990,2680097.968,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_YLT15,,1990,896153.093,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y15-24,,1990,514659.134,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y25-54,,1990,960566.247,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y55-64,,1990,169184.126,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_YGE65,,1990,139535.368,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_TOTAL,,1990,2645541.179,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_YLT15,,1990,851454.604,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y15-24,,1990,494101.828,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y25-54,,1990,935532.236,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y55-64,,1990,175898.32,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_YGE65,,1990,188554.191,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_YGE15,,1990,3578031.444,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_Y15-64,,1990,3249941.889,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_Y15-24,,1990,1008760.956,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_YGE25,,1990,2569270.488,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_YTHADULT_YGE15,,1990,1783944.875,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_YTHADULT_Y15-64,,1990,1644409.507,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_YTHADULT_Y15-24,,1990,514659.134,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_YTHADULT_YGE25,,1990,1269285.741,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_YTHADULT_YGE15,,1990,1794086.575,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_YTHADULT_Y15-64,,1990,1605532.384,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_YTHADULT_Y15-24,,1990,494101.828,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_YTHADULT_YGE25,,1990,1299984.747,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_TOTAL,,1991,5412670.681,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y00-04,,1991,649325.92,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y05-09,,1991,587013.066,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y10-14,,1991,533525.766,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y15-19,,1991,519098.488,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y20-24,,1991,496047.056,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y25-29,,1991,448140.525,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y30-34,,1991,393063.422,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y35-39,,1991,357931.287,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y40-44,,1991,292851.645,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y45-49,,1991,233323.541,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y50-54,,1991,214776.116,R1:2474
