,indicator,classif1,classif2,sex,slope,intercept,r_value,p_value,std_err
510,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y25-34,SEX_T,0.19595170745751245,0.337073238858819,0.5484164397579117,3.023124493531343e-20,0.019367031411916792
511,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y25-34,SEX_M,0.18479310700899076,0.4210947193666539,0.6158944816166265,1.8686947195940389e-26,0.015322257207538915
512,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y25-34,SEX_F,0.12694441839547835,0.6647622022261438,0.3345897563544874,1.0949228654475437e-07,0.02317560742592805
513,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y35-44,SEX_T,0.18945153896880487,0.5426411394564987,0.45676673442477816,8.988256074741585e-14,0.023916816846373062
514,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y35-44,SEX_M,0.1978459367028081,0.5970008322975918,0.541265352366171,1.144874551361197e-19,0.019922686833221175
515,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y35-44,SEX_F,0.09689288309823942,0.8762760862987939,0.25212132016363525,7.833297120945113e-05,0.024106413916777907
516,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y45-54,SEX_T,0.23752949768082157,0.45631813281542344,0.4607303127574,5.152560182534525e-14,0.029659942890865564
517,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y45-54,SEX_M,0.22241850394943408,0.5244241299867293,0.5386420723064813,1.8512694684956159e-19,0.022551215752764243
518,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y45-54,SEX_F,0.11738329700651418,0.8927482893389185,0.21993222751801778,0.0006002566881642138,0.033749160346843096
519,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y55-64,SEX_T,0.2100764981644132,0.5447982134196516,0.508102338058893,3.7029970671509815e-17,0.02308291133109
520,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y55-64,SEX_M,0.1994999887980049,0.4971589876336804,0.6016734005118027,5.052203827243574e-25,0.01716722981247716
521,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_Y55-64,SEX_F,0.016916237034609198,1.2795471425921003,0.0390430490995321,0.5472247059283232,0.02806340045099601
522,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_YGE65,SEX_T,-0.09787038411064503,1.4640089850889448,-0.1888115378733932,0.0033221694224077427,0.0329952689584206
523,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_YGE65,SEX_M,-0.08197794700738807,1.4519946947697118,-0.1963271838897482,0.0022476129507461406,0.026539500657034008
524,UNE_DEAP_SEX_AGE_RT,0,AGE_10YRBANDS_YGE65,SEX_F,-0.033579222625068864,1.3706117783901286,-0.08505209051433685,0.1891415730868908,0.02549885299493285
525,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_T,0.19265661233228115,0.2734126839808173,0.5268537189369398,1.5249884217139239e-18,0.020146602695473883
526,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_M,0.18619148617387649,0.3173381622356013,0.5821624387625837,3.592998512460439e-23,0.01685607413531401
527,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_F,0.16063905341669546,0.44097915289568645,0.3952579373832885,2.1270181169141103e-10,0.024198831592170744
528,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_T,0.049023003595426586,0.7589027467081768,0.27550672264557236,1.4915023265405282e-05,0.01108760622019348
529,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_M,0.047987033140372504,0.7353449400459189,0.31570091183036414,5.927162171529442e-07,0.00934891376102565
530,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_F,0.03681096878347299,0.9309758491401865,0.18907466975502468,0.0032778074744832654,0.012392257104429219
531,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_T,0.23134046916357495,0.33148730387980696,0.5252783060856375,2.0089623852526302e-18,0.024292250707752313
532,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_M,0.22603206941605447,0.40286763714452434,0.604491985268451,2.662960505467918e-25,0.019308007370208748
533,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_F,0.1552821684334849,0.6216757648883213,0.3258327994627635,2.430049163621185e-07,0.029205624552919206
534,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_T,0.2100764981644132,0.5447982134196516,0.508102338058893,3.7029970671509815e-17,0.02308291133109
535,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_M,0.1994999887980049,0.4971589876336804,0.6016734005118027,5.052203827243574e-25,0.01716722981247716
536,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_F,0.016916237034609198,1.2795471425921003,0.0390430490995321,0.5472247059283232,0.02806340045099601
537,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_YGE65,SEX_T,-0.09787038411064503,1.4640089850889448,-0.1888115378733932,0.0033221694224077427,0.0329952689584206
538,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_YGE65,SEX_M,-0.08197794700738807,1.4519946947697118,-0.1963271838897482,0.0022476129507461406,0.026539500657034008
539,UNE_DEAP_SEX_AGE_RT,0,AGE_AGGREGATE_YGE65,SEX_F,-0.033579222625068864,1.3706117783901286,-0.08505209051433685,0.1891415730868908,0.02549885299493285
540,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_T,0.19265661233228115,0.2734126839808173,0.5268537189369398,1.5249884217139239e-18,0.020146602695473883
541,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_M,0.18619148617387649,0.3173381622356013,0.5821624387625837,3.592998512460439e-23,0.01685607413531401
542,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_F,0.16063905341669546,0.44097915289568645,0.3952579373832885,2.1270181169141103e-10,0.024198831592170744
543,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_T,0.18324490697635368,0.30471608276488116,0.5073573701909383,4.1864520605388545e-17,0.020174536700073693
544,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_M,0.1782005394613943,0.3379032128382653,0.5660445325329216,9.86848763258743e-22,0.016822656301808202
545,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_F,0.14965985572898638,0.48847158435233673,0.3717533665323385,2.790246540574892e-09,0.024225069739446804
546,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-24,SEX_T,0.049023003595426586,0.7589027467081768,0.27550672264557236,1.4915023265405282e-05,0.01108760622019348
547,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-24,SEX_M,0.047987033140372504,0.7353449400459189,0.31570091183036414,5.927162171529442e-07,0.00934891376102565
548,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_Y15-24,SEX_F,0.03681096878347299,0.9309758491401865,0.18907466975502468,0.0032778074744832654,0.012392257104429219
549,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE25,SEX_T,0.2578914266800826,0.26301759222916066,0.56992099581368,4.522673812110108e-22,0.02410165076233355
550,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE25,SEX_M,0.242822658637501,0.3543716564154601,0.6319588248023779,3.6634750252827087e-28,0.019302552904344624
551,UNE_DEAP_SEX_AGE_RT,0,AGE_YTHADULT_YGE25,SEX_F,0.20036074890986033,0.4731473913213129,0.39353804283318305,2.5858381758791994e-10,0.030338817013252528
552,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_T,0.2406783236970176,0.009699735601230053,0.5894543356578532,7.549944182412986e-24,0.021379773292684843
553,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_M,0.21025783232158046,0.184483201519563,0.6186735115009278,9.619546603075294e-27,0.01730733895046545
554,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_TOTAL,SEX_F,0.24933274408850578,-0.04824327054986166,0.49381227953527496,3.702537446792582e-16,0.028459860585681535
555,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_T,0.06717244228410811,0.5459452614956907,0.32269598213423384,3.213808336600782e-07,0.01277117762928717
556,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_M,0.05925555221080818,0.5935695641979923,0.3520924707250404,2.0624492758668824e-08,0.010210418515376829
557,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y15-24,SEX_F,0.05746707096039154,0.7064453303123576,0.23522556829666735,0.0002361799920375663,0.015391674608771989
558,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_T,0.26842408021100816,0.17124032391394017,0.5653988894904264,1.1226826585323202e-21,0.0253825920888698
559,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_M,0.23908643681163452,0.349205927959921,0.6209429863984027,5.565533982785609e-27,0.019563694535952737
560,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y25-54,SEX_F,0.22582608930976722,0.2991227063070534,0.3931197179723619,2.711193935373956e-10,0.03423785441380047
561,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_T,0.22348586485683286,0.4948576441082043,0.523321290531253,2.8236345964885527e-18,0.023588580723974982
562,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_M,0.21068248208430707,0.45064580126305875,0.6176246306922261,1.2369031871152623e-26,0.017389983531582318
563,UNE_DEA1_SEX_AGE_RT,0,AGE_AGGREGATE_Y55-64,SEX_F,0.01700458473338537,1.279300228575722,0.038834040748977165,0.5493734072681273,0.028362025741591065
564,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_T,0.24067861649608996,0.009698026163579287,0.58945478132505,7.549215251478996e-24,0.021379774530795842
565,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_M,0.21025790219795903,0.18448308284340809,0.6186736430644113,9.619242698966086e-27,0.017307338739559038
566,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_YGE15,SEX_F,0.24933274408850578,-0.04824327054986166,0.49381227953527496,3.702537446792582e-16,0.028459860585681535
567,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_T,0.22897805447029243,0.04830784740088667,0.566212498062916,9.542459182270386e-22,0.02160676713338335
568,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_M,0.20218926625964595,0.20212370847231576,0.6028528128983838,3.867594289508504e-25,0.017345263161693956
569,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_Y15-64,SEX_F,0.23097712970885623,0.03271939148272773,0.46170597298667454,4.488054908927511e-14,0.028764365590862356
570,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_Y15-24,SEX_T,0.06717244228410811,0.5459452614956907,0.32269598213423384,3.213808336600782e-07,0.01277117762928717
571,UNE_DEA1_SEX_AGE_RT,0,AGE_YTHADULT_Y15-24,SEX_M,0.05925555221080818,0.5935695641979923,0.3520924707250404,2.0624492758668824e-08,0.010210418515376829
